Review,Regression Score,Classification Score,Contextual Score,Final Score
"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_rzgxjwwpcvghb_1745555649401"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_RZGXJWWPCVGHB_1745555649401_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""B02CT04APY5HC6B83976"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""RZGXJWWPCVGHB"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_RZGXJWWPCVGHB_1745555649401_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""videoHeight"":0,""videoWidth"":0,""initialClosedCaptions"":""en,https://a.media-amazon.com/images/S/vse-vms-closed-captions-artifact-us-east-1-prod/closedCaptions/5e01c8d2-c9f5-486c-8c2e-a31775e1dcbc.vtt"",""videoUrl"":""https://a.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/2775fea5-f05f-4ca8-ad5d-e8ca976a8b55/embedded.cc.default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://a.media-amazon.com/images/I/51saF4C-FbL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""RZGXJWWPCVGHB"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A1RKZRRUICA5CX"",""containerId"":""vse_reviews_desktop_rzgxjwwpcvghb_1745555649401-player-d4266872-7e1a-49f0-b863-9b5126a0e91e"",""allowCrossOrigin"":false,""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""B02CT04APY5HC6B83976"",""pageAsin"":"""",""sessionId"":""145-8904116-6184716""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_RZGXJWWPCVGHB_1745555649401_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""B02CT04APY5HC6B83976"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""languageLocalization"":{""play"":""Play"",""volumeLevel"":""Volume Level"",""subtitles"":""Subtitles"",""volumeSlider"":""Volume Slider"",""playVideo"":""Click to play video"",""fullscreen"":""Fullscreen"",""scrubberBar"":""Scrubber bar"",""mute"":""Mute"",""unmute"":""Unmute"",""pause"":""Pause"",""captions"":""Captions"",""nonfullscreen"":""Non-Fullscreen""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""RZGXJWWPCVGHB"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_RZGXJWWPCVGHB_1745555649401_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time 0:00/Duration 0:03Loaded: 100.00%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:03 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglishAudio Trackdefault, selectedFullscreenThis is a modal window.


            
            
        
    
    








  
  
    Besides being easy to use when working out I must say the battery life is incredible you can listen music for hours at a time and the battery won’t die also the noise cancellation feature works perfectly definitely worths the money",56,0,23,79
OMG these earplugs are the best in the world world they really work extremely good,67,20,46,133
Audífonos muy cómodos de usar se escuchan muy bien son muy útiles,85,0,39,125
"I love these headphones, they sound good, the battery lasts a long time and best of all, they are very well priced. !!!",55,20,60,135
Good headphones. Better for listening to podcasts or audiobooks vs music!,74,20,41,135
Good fit and lightweight. Definitely work for the price!,62,20,58,141
They arrived on time and they were exactly what I ordered. They fit well and look nice. However the sound isn't great at all. Based on other reviews I read I choose these because of the great price and supposed sound quality. Many reviews said they had great bass and that's not true at all. Infact everything sounds very monotoned. I listened to several types of music and podcasts and they all sound the same. Debating on returning them or just getting a different brand and keep these as a backup.,59,20,66,145
This product was around $25. There was a promotion price from original $200. I bought based of that and rating. This is definitely not $200. Its definitely not $25. The microphone doesnt work when your on a call. The other person cant hear my voice clearly. Don't trust the lie,62,20,44,127
Auriculares de buena calidad he comprado varios pero este me ha gustado mas le dura mucho su carga no te molesta en tu oido se escuchan nitidos,91,20,37,149
"Didn't fit well, so it sounded very thin. Wouldn't recommend! Oh, well lost out on $25 dollars.",67,20,32,120
Exceptionally clear sound quality. Very functional and easy to fit my ear canals. Very durable and beautiful rose gold color,67,20,58,146
"These are great for the price, I mean what do you expect for under $25? I love how they fit and stay on my ears, I have to have an ear hook otherwise they just fall out. So far, no pinching or uncomfortable headaches like others in the past. I love how long they last and how the case can recharge them for extra life. Yeah, the sound isn't the greatest, but again...you get what you pay for. I mostly only listen to podcasts and not music anyway, so these are great for me!",35,20,63,119
"These wireless earbuds have truly elevated my listening experience! The sound quality is crisp and clear, with a rich bass that makes my favorite music come alive. The Bluetooth connection is seamless and reliable, and I've experienced no dropouts or interruptions.The battery life is phenomenal; I can easily get through a full day of use, and the charging case provides plenty of extra power.The earbuds are also incredibly comfortable and secure, even during intense workouts. The noise-canceling microphone works surprisingly well, making calls clear and easy, even in noisy environments. The digital power display on the case is a very useful feature, letting me know exactly how much charge I have left.",34,20,63,118
These earbuds last a really long time and have great sound for the price,75,20,68,164
"They really exceed expectations. The battery lasts a very long time, the sound is clear with good bass, and the microphone delivers crisp call quality. The charging display is a great added touch. Comfortable, practical, and excellent value for money. Highly recommended.",63,20,65,149
"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_r2he2ovwslt83h_1745555654951"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_R2HE2OVWSLT83H_1745555654951_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""1HNR0TJR4MPSWCPMKFC5"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2HE2OVWSLT83H"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2HE2OVWSLT83H_1745555654951_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""videoHeight"":0,""videoWidth"":0,""initialClosedCaptions"":""en,https://a.media-amazon.com/images/S/vse-vms-closed-captions-artifact-us-east-1-prod/closedCaptions/cca0865c-0c48-4bee-b061-9f6256d47901.vtt"",""videoUrl"":""https://a.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/9175be4f-a43d-40b7-bbd8-1b1f3add143a/embedded.cc.default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://a.media-amazon.com/images/I/51L4duxKB3L._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""R2HE2OVWSLT83H"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A1RKZRRUICA5CX"",""containerId"":""vse_reviews_desktop_r2he2ovwslt83h_1745555654951-player-6c8c6350-9adf-412f-910f-f2acbe0c77e0"",""allowCrossOrigin"":false,""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""1HNR0TJR4MPSWCPMKFC5"",""pageAsin"":"""",""sessionId"":""145-8904116-6184716""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_R2HE2OVWSLT83H_1745555654951_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""1HNR0TJR4MPSWCPMKFC5"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""languageLocalization"":{""play"":""Play"",""volumeLevel"":""Volume Level"",""subtitles"":""Subtitles"",""volumeSlider"":""Volume Slider"",""playVideo"":""Click to play video"",""fullscreen"":""Fullscreen"",""scrubberBar"":""Scrubber bar"",""mute"":""Mute"",""unmute"":""Unmute"",""pause"":""Pause"",""captions"":""Captions"",""nonfullscreen"":""Non-Fullscreen""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2HE2OVWSLT83H"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2HE2OVWSLT83H_1745555654951_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time 0:00/Duration 0:17Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:17 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglishAudio Trackdefault, selectedFullscreenThis is a modal window.


            
            
        
    
    








  
  
    This wireless earbuds Bluetooth is very good more time with charge❤️I like it",59,0,22,81
"Sound comes out them and that's about it.  ""BX17 ear buds have strong 14.3mm speakers driving units and in ear acoustic structure support, which produces a strong bass and bright treble. "" Not. Bass is non-existent, even with it turned up to max on my phone's equalizer. They also are not, ""noise canceling.""  They'd be fine for phone calls, but for music, they are pretty bad and sound like a cheap transistor radio.",58,20,57,135
Muy buenos audífonos el sonido es bueno y son cómodos y son de un tamaño considerable para poder guardar hasta en la bolsa del pantalón y otras cosas,87,20,45,153
"The media could not be loaded.
                
            
                
            
        
    
    








  
    Estos audífonos le dures bastante la carga,te puede pasar unos días sin darle carga a el mismo,viene con el cable para darle su carga,amplifica muy bien la música,bellos.",79,20,38,138
"Great sound quality and fit, material seems very durable and functional. Works fantastic with my phone and battery is long lasting",63,20,63,147
Sent these to my best friend. Much needed with her delivery driver gig. They hold charge and she absolutely loves them!!,59,20,45,125
I've been using these headphones for my runs and they are fantastic. The open ear design is comfortable and the sound quality is good. The battery life lasts for a long time. Great product!,60,0,66,127
"These wireless earbuds have quickly become my go-to for everything from workouts to calls. The sound quality is excellent—clear highs, deep bass, and great overall balance. They stay secure during runs and gym sessions, and they’re super comfortable even after wearing them for hours.",63,20,62,146
"First of all, these are some of the longest lasting battery headphones ive found. The case is super cute, easy to carry around everywhere. The headphones fit in the ears comfortably. I have 3 cartilage piercings and no issues. I love these!",54,20,59,133
excelente con el sonido cómodos de llevar .,86,0,36,123
"These have good sound, the best gift for my son, these are of good quality",65,0,45,111
Excellent price and service.,74,20,21,116
"I recently purchased the Wireless Earbuds Bluetooth Headphones, and I couldn't be happier with my choice! These earbuds have truly exceeded my expectations in every way.First and foremost, the 80 hours of playback time is incredible! I can go days without needing to recharge, which is perfect for my busy lifestyle. Whether I'm at the gym, running errands, or just relaxing at home, I never have to worry about my earbuds dying on me.The sound quality is outstanding, with crisp highs and deep bass that make my music come alive. The noise-canceling mic is a game-changer, allowing me to take calls without any background noise interference. I’ve received compliments on how clear I sound during calls, which is a huge plus!The design is sleek and comfortable, making them perfect for sports and workouts. They fit securely in my ears, so I don’t have to worry about them falling out while I’m on the move. Plus, the power display is a fantastic feature that keeps me informed about the battery life at a glance.Overall, these earbuds are a fantastic investment for anyone looking for high-quality sound, long battery life, and a comfortable fit. I highly recommend them to anyone in need of reliable and stylish wireless headphones!",12,20,65,97
"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_r12h07simfn3b6_1745555657927"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_R12H07SIMFN3B6_1745555657927_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""43C4FXMV7HR5BABZSRDB"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R12H07SIMFN3B6"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R12H07SIMFN3B6_1745555657927_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""videoHeight"":0,""videoWidth"":0,""videoUrl"":""https://a.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/3a0cb548-2988-4ecf-bc34-838df81f1062/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://a.media-amazon.com/images/I/61t5mWGdcWL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""R12H07SIMFN3B6"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A1RKZRRUICA5CX"",""containerId"":""vse_reviews_desktop_r12h07simfn3b6_1745555657927-player-f4a17112-2bfe-4d57-942d-9eaa544bec2e"",""allowCrossOrigin"":false,""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""43C4FXMV7HR5BABZSRDB"",""pageAsin"":"""",""sessionId"":""145-8904116-6184716""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""145-8904116-6184716"",""refMarkers"":""vse_reviews_desktop_R12H07SIMFN3B6_1745555657927_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""43C4FXMV7HR5BABZSRDB"",""customerId"":""A1RKZRRUICA5CX"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""languageLocalization"":{""play"":""Play"",""volumeLevel"":""Volume Level"",""subtitles"":""Subtitles"",""volumeSlider"":""Volume Slider"",""playVideo"":""Click to play video"",""fullscreen"":""Fullscreen"",""scrubberBar"":""Scrubber bar"",""mute"":""Mute"",""unmute"":""Unmute"",""pause"":""Pause"",""captions"":""Captions"",""nonfullscreen"":""Non-Fullscreen""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R12H07SIMFN3B6"",""customerId"":""A1RKZRRUICA5CX"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R12H07SIMFN3B6_1745555657927_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time 0:00/Duration 0:14Loaded: 42.90%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:14 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


            
        
    
    








  
  
    Great quality sound and noise Cancelling features make these earbuds perfect for gym workouts. Sleek design and fantastic value for money!",56,0,24,81
"I love the sound for calls and listening to music. I, however,  need an accessory that will not need my always carrying around the phone on my small house.  The sound quality is not good when used with an iPad.  Besides,  it would be quite convenient to have the callers announced.The fit,  however,  is quite good.",66,20,61,147
Good Sounds and quality,86,20,44,151
Great earbuds for someone who is active. I got these for my boyfriend and he absolutely loves them. They fit snug around his ear so he is able to wear them while he is working and not have to worry about them falling out. The audio is clear and it also has good bass and is loud. They stay charged for a long period of time and it doesn't take long for them to charge as well. They seem to be very durable as well. Definitely worth the money spent on them plus more.,51,0,60,112
Muy buena calidad y el precio super accessible,74,20,53,147
"Excellent quality, accurate sound quality, charges very quickly, and holds a charge for several hours. Easy to carry, practical. My brother loved it.",67,20,52,139
